,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,60%,29:24,160,"1,597",611,3,16,39.9,216,16,383,206,11,15,291,1,77%,3,3,86.7%,287,29,1,15,6,1,73%,29/40,Dragons vs Wests Tigers,Dragons,2013
1,40%,19:36,145,"1,496",500,8,29,41.6,122,10,361,202,14,17,378,1,57%,3,8,88.8%,301,16,0,22,10,0,75%,27/36,Dragons vs Wests Tigers,Wests Tigers,2013
