,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,27:31,190,"2,082",757,2,32,50.8,318,5,442,237,16,20,360,2,100%,4,8,90.1%,363,24,16,8,78%,32/41,Cowboys vs Sharks,Cowboys,2014
1,51%,28:39,185,"1,763",562,5,24,42,126,9,448,255,4,19,573,0,80%,0,4,90.6%,397,32,9,7,76%,32/42,Cowboys vs Sharks,Sharks,2014
