,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,63%,32:29,182,"1,764",524,5,40,51.9,342,3.84s,16,418,220,29,26,539,2,71%,7,7,90.8%,327,21,12,7,1,85%,29/34,Roosters vs Bulldogs,Roosters,2015
1,37%,19:05,156,"1,389",525,5,21,39.7,129,4.08s,9,359,188,22,23,590,1,56%,1,5,83.9%,319,40,21,2,0,91%,32/35,Roosters vs Bulldogs,Bulldogs,2015
