,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,43%,22:42,139,"1,395",558,4,10,42.3,170,1,352,185,12,21,621,1,76%,4,4,86.2%,363,26,0,32,1,82%,27/33,Broncos vs Sharks,Broncos,2014
1,57%,30:06,185,"1,678",656,2,26,46.6,227,23,468,246,18,26,634,3,71%,8,6,96.2%,307,10,1,2,2,81%,29/36,Broncos vs Sharks,Sharks,2014
