,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,56%,25:39,184,"1,632",416,8,40,45.3,196,3.56s,22,377,200,13,18,364,4,40%,4,7,81.3%,243,39,2,17,11,3,8,72%,26/36,Dragons vs Knights,Dragons,2016
1,44%,20:09,134,"1,313",405,5,39,43.8,175,3.53s,9,313,168,3,16,316,0,88%,1,6,79.7%,278,40,2,31,10,5,8,63%,19/30,Dragons vs Knights,Knights,2016
