,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,71%,32:04,193,"1,690",584,8,33,37.6,188,3.31s,21,427,236,43,16,480,1,80%,3,2,87.9%,247,21,1,13,7,76%,34/45,Panthers vs Titans,Panthers,2015
1,29%,13:06,136,"1,055",331,2,21,32,89,3.57s,8,291,159,27,10,214,0,83%,3,2,85.1%,348,33,0,28,11,45%,15/33,Panthers vs Titans,Titans,2015
