,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Sin Bins,Completions (%),Completed Sets Ratio,Match,Team,Year
0,45%,25:36,157,"1,584",507,5,28,41.7,230,6,395,205,14,26,725,1,100%,0,4,7,85.1%,343,31,1,29,9,2,1,95%,36/38,Knights vs Wests Tigers,Knights,2014
1,55%,31:18,187,"1,622",519,7,31,39.6,255,21,442,237,11,22,635,0,92%,1,2,5,89.8%,326,28,1,9,8,1,0,85%,35/41,Knights vs Wests Tigers,Wests Tigers,2014
