,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,26:01,159,"1,508",514,1,20,43.1,184,3.76s,2,414,230,21,26,629,4,89%,0,5,10,94.1%,351,18,4,4,1,83%,29/35,Dragons vs Broncos,Dragons,2015
1,48%,24:01,164,"1,508",547,2,18,39.7,170,3.48s,2,409,231,29,18,427,3,71%,1,5,5,93.5%,362,20,5,5,0,66%,25/38,Dragons vs Broncos,Broncos,2015
