,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,23:29,145,"1,133",132,5,22,30.6,131,3.48s,10,332,183,21,16,363,4,67%,1,5,86.8%,308,31,16,9,11,1,8,0,76%,28/37,Warriors vs Sea Eagles,Warriors,2016
1,53%,26:28,177,"1,321",148,3,31,33.9,132,3.49s,12,380,193,35,17,350,1,100%,4,7,86.2%,276,22,22,9,10,1,7,1,82%,32/39,Warriors vs Sea Eagles,Sea Eagles,2016
