,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,23:50,157,"1,499",465,3,29,38.4,188,3.8s,7,360,200,10,14,293,1,75%,2,6,87.4%,346,26,24,14,8,1,0,7,67%,26/39,Knights vs Sea Eagles,Knights,2016
1,53%,26:52,187,"1,672",566,5,26,42.9,100,3.83s,16,420,231,16,19,356,1,86%,1,5,89.9%,310,29,6,11,10,0,1,8,79%,31/39,Knights vs Sea Eagles,Sea Eagles,2016
