,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,28:59,189,"1,599",427,3,22,41,191,3.78s,10,429,255,34,18,314,3,100%,1,10,85.7%,287,30,18,6,7,0,8,87%,34/39,Rabbitohs vs Storm,Rabbitohs,2019
1,45%,23:42,166,"1,541",408,8,30,49.7,148,3.42s,11,345,184,18,19,447,1,100%,1,8,89.5%,333,22,17,10,12,1,8,77%,24/31,Rabbitohs vs Storm,Storm,2019
