,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Sin Bins,Completions (%),Completed Sets Ratio,Match,Team,Year
0,57%,26:47,149,"1,417",512,7,21,39.4,168,8,341,178,15,14,426,3,100%,2,2,86.6%,310,27,21,9,1,78%,28/36,Broncos vs Dragons,Broncos,2014
1,43%,20:13,165,"1,445",459,4,27,40.1,112,19,368,197,9,17,338,0,91%,1,4,91.5%,332,21,10,5,0,83%,30/36,Broncos vs Dragons,Dragons,2014
