,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Sin Bins,Completions (%),Completed Sets Ratio,Match,Team,Year
0,41%,18:53,141,"1,303",442,5,26,36.2,163,7,365,210,14,17,427,1,92%,2,6,86.8%,315,22,1,26,6,0,78%,28/36,Warriors vs Panthers,Warriors,2014
1,59%,27:11,157,"1,372",476,3,22,40.4,160,18,390,220,8,15,411,2,92%,4,4,89.9%,320,26,1,10,11,1,74%,25/34,Warriors vs Panthers,Panthers,2014
