,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,56%,29:54,162,"1,436",406,7,42,38.8,128,3.09s,12,408,244,20,15,211,0,83%,6,4,89.3%,318,26,1,12,9,10,1,8,0,84%,31/37,Rabbitohs vs Eels,Rabbitohs,2018
1,44%,23:30,153,"1,286",351,2,26,34.8,98,3.32s,5,364,204,7,19,490,4,70%,5,3,83.5%,328,42,1,23,7,12,1,8,3,86%,32/37,Rabbitohs vs Eels,Eels,2018
