,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,43%,21:19,141,"1,323",378,7,21,40.1,129,10,337,171,10,18,559,1,80%,1,5,88%,336,25,0,21,7,0,82%,27/33,Broncos vs Warriors,Broncos,2014
1,57%,28:15,171,"1,486",501,6,25,38.1,227,14,424,241,5,17,345,3,86%,6,5,89.1%,285,21,1,14,4,1,79%,31/39,Broncos vs Warriors,Warriors,2014
