,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,25:45,161,"1,369",337,8,27,37,133,3.91s,3,366,204,16,17,408,1,100%,1,3,3,87%,267,29,11,7,8,8,81%,30/37,Wests Tigers vs Sea Eagles,Wests Tigers,2016
1,47%,22:50,136,"1,235",355,7,29,36.3,129,3.8s,8,294,157,16,10,330,2,60%,0,2,2,91.3%,325,27,4,10,8,7,71%,24/34,Wests Tigers vs Sea Eagles,Sea Eagles,2016
