,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,25:39,166,"1,422",539,1,40,36.5,111,3.51s,6,372,210,23,19,481,3,67%,7,5,81.9%,317,42,28,10,7,0,1,8,72%,28/39,Broncos vs Warriors,Broncos,2018
1,52%,27:47,179,"1,773",610,7,42,46.7,169,3.34s,17,407,225,38,17,482,0,82%,3,2,87.3%,330,40,8,15,9,1,2,7,68%,26/38,Broncos vs Warriors,Warriors,2018
