,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,29:52,185,"1,737",615,3,30,44.5,188,3.07s,12,410,206,17,20,466,2,75%,7,4,86.4%,369,37,21,7,11,1,10,74%,29/39,Titans vs Sharks,Titans,2016
1,51%,31:06,209,"1,703",487,4,37,38.7,156,3.07s,15,465,261,10,22,450,2,75%,2,8,88.8%,363,30,16,6,6,0,9,84%,37/44,Titans vs Sharks,Sharks,2016
