,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,42%,22:27,162,"1,396",535,3,20,39.9,186,3.85s,3,335,177,30,17,496,1,80%,6,3,93.4%,408,26,3,8,1,83%,29/35,Rabbitohs vs Cowboys,Rabbitohs,2015
1,58%,31:00,185,"1,928",633,6,26,50.7,239,3.48s,3,433,240,26,22,651,2,88%,3,2,93%,321,20,4,10,0,82%,31/38,Rabbitohs vs Cowboys,Cowboys,2015
