,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,25:05,172,"1,446",541,5,19,42.5,136,3.79s,20,354,183,30,14,307,1,86%,1,3,88.6%,319,23,2,18,7,7,7,1,76%,26/34,Panthers vs Warriors,Panthers,2016
1,48%,23:10,162,"1,331",520,3,23,41.6,108,3.68s,8,342,184,19,16,422,1,100%,4,3,86.3%,309,19,0,30,9,9,6,4,72%,23/32,Panthers vs Warriors,Warriors,2016
