,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,59%,30:52,177,"1,650",595,1,17,40.3,243,3.87s,10,443,240,28,26,623,6,71%,5,7,88.3%,308,27,14,3,78%,32/41,Warriors vs Sharks,Warriors,2015
1,41%,21:26,154,"1,405",491,4,27,41.3,165,3.49s,10,337,167,8,19,520,2,62%,0,5,91.9%,362,17,15,6,71%,24/34,Warriors vs Sharks,Sharks,2015
