,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,45%,24:58,165,"1,492",497,5,20,37.3,167,3.57s,10,380,196,19,20,549,0,100%,2,5,87.1%,358,30,23,4,1,68%,27/40,Dragons vs Bulldogs,Dragons,2015
1,55%,30:31,198,"1,670",571,1,30,44,197,3.99s,20,480,279,30,21,355,3,100%,2,8,89.1%,303,20,17,4,0,76%,29/38,Dragons vs Bulldogs,Bulldogs,2015
