,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Sin Bins,Completions (%),Completed Sets Ratio,Match,Team,Year
0,46%,28:29,142,"1,238",447,3,27,30.2,156,8,354,189,19,20,580,2,100%,3,5,85.2%,322,38,0,18,8,3,1,73%,30/41,Broncos vs Knights,Broncos,2013
1,54%,33:27,173,"1,655",519,5,37,41.4,252,9,389,206,17,16,453,3,94%,3,5,87.5%,274,27,1,12,8,1,0,75%,30/40,Broncos vs Knights,Knights,2013
