,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,24:35,162,"1,444",514,4,35,38,158,11,379,189,13,27,653,0,100%,7,3,88.6%,320,19,22,3,82%,31/38,Dragons vs Broncos,Dragons,2014
1,52%,26:37,168,"1,570",568,5,19,46.2,172,11,393,203,16,19,513,1,80%,4,4,84.3%,284,35,18,6,82%,28/34,Dragons vs Broncos,Broncos,2014
