,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,62%,30:58,159,"1,512",508,4,35,36.9,281,3,406,224,6,17,339,3,100%,3,4,89.7%,280,18,0,14,3,71%,29/41,Roosters vs Titans,Roosters,2014
1,38%,18:58,137,"1,160",412,3,18,34.1,123,10,340,182,14,22,484,3,64%,4,7,89.3%,342,35,1,6,7,68%,23/34,Roosters vs Titans,Titans,2014
