,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,38%,20:30,177,"1,595",530,2,26,39.9,187,9,445,260,16,24,633,1,100%,2,8,84.2%,324,38,23,4,0,75%,30/40,Titans vs Sea Eagles,Titans,2014
1,62%,33:27,177,"1,843",536,6,38,51.2,233,18,408,218,12,22,516,2,89%,5,6,89.1%,335,26,15,9,1,69%,25/36,Titans vs Sea Eagles,Sea Eagles,2014
