,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,56%,27:50,179,"1,692",532,7,35,43.4,151,2.97s,9,380,197,50,18,395,1,62%,2,5,86.8%,277,28,2,14,9,6,8,2,79%,31/39,Panthers vs Roosters,Panthers,2016
1,44%,21:52,152,"1,403",468,4,28,40.1,112,2.87s,6,337,176,36,19,394,2,71%,3,7,88.6%,364,35,0,12,9,7,8,2,71%,25/35,Panthers vs Roosters,Roosters,2016
