,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,60%,34:12,227,"2,212",741,6,46,56.7,289,3.3s,13,484,257,15,29,829,5,88%,7,5,89.6%,310,21,1,15,7,4,8,1,90%,35/39,Wests Tigers vs Knights,Wests Tigers,2019
1,40%,22:48,152,"1,455",473,3,21,45.5,194,3.37s,6,338,183,7,15,460,0,62%,5,3,84.1%,385,46,1,27,9,3,8,0,75%,24/32,Wests Tigers vs Knights,Knights,2019
