,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,53%,27:48,189,"1,723",418,4,32,46.6,210,3.29s,15,420,226,7,20,550,2,50%,2,5,88.4%,335,32,1,12,11,8,1,8,78%,29/37,Broncos vs Titans,Broncos,2019
1,47%,24:40,167,"1,558",340,3,32,40,163,3.23s,6,372,199,11,18,550,1,57%,5,3,87.8%,383,32,0,21,11,5,0,8,74%,29/39,Broncos vs Titans,Titans,2019
