,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,On Reports,Send Offs,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,27:53,192,"1,781",551,4,32,43.4,239,8,487,260,20,30,824,3,88%,5,6,90.3%,316,23,0,11,4,0,0,85%,35/41,Cowboys vs Knights,Cowboys,2013
1,51%,29:01,155,"1,468",494,3,23,38.6,157,10,412,231,5,21,596,0,95%,2,3,90%,369,32,1,9,4,1,1,79%,30/38,Cowboys vs Knights,Knights,2013
