,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,65%,33:54,154,"1,428",518,3,21,35.7,156,11,365,187,14,24,794,1,100%,4,6,94.1%,354,14,8,5,68%,27/40,Storm vs Rabbitohs,Storm,2013
1,35%,18:15,152,"1,515",562,2,14,42.1,252,7,375,197,14,22,594,0,94%,6,2,90.8%,324,21,12,6,72%,26/36,Storm vs Rabbitohs,Rabbitohs,2013
