,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,25:55,176,"1,519",539,3,17,38,166,3.85s,1,383,200,29,25,767,1,73%,2,5,94.9%,375,14,6,6,92%,37/40,Storm vs Roosters,Storm,2015
1,53%,29:13,168,"1,668",635,2,14,47.7,251,3.35s,3,397,211,11,27,764,2,86%,4,7,95%,379,17,3,9,91%,32/35,Storm vs Roosters,Roosters,2015
