,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,57%,30:20,196,"1,651",595,2,25,44.6,217,2.99s,12,465,268,24,21,467,2,83%,4,9,87.1%,310,36,10,10,7,8,2,78%,29/37,Rabbitohs vs Roosters,Rabbitohs,2018
1,43%,22:53,150,"1,435",491,2,36,38.8,146,3.44s,7,343,181,10,16,540,1,75%,5,1,89%,363,25,20,10,9,6,0,70%,26/37,Rabbitohs vs Roosters,Roosters,2018
