,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,25:52,181,"1,678",601,6,30,38.1,211,3.64s,11,416,226,16,19,455,78%,9,0,91.8%,348,19,12,5,73%,32/44,Roosters vs Eels,Roosters,2015
1,50%,25:52,163,"1,320",475,3,19,35.7,98,3.52s,8,372,196,7,20,616,77%,5,1,87.2%,334,30,19,10,78%,29/37,Roosters vs Eels,Eels,2015
