,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,43%,20:01,126,"1,224",360,4,14,47.1,124,3.44s,6,311,176,20,12,207,1,46%,4,1,81.5%,312,54,17,12,7,1,8,69%,18/26,Titans vs Raiders,Titans,2017
1,57%,26:33,189,"1,822",557,5,54,48,276,3.43s,12,391,207,27,22,466,2,64%,1,8,90.8%,238,14,10,4,3,0,8,87%,33/38,Titans vs Raiders,Raiders,2017
