,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,23:18,155,"1,482",488,6,30,38,203,7,371,191,6,24,641,0,83%,2,4,87.4%,311,27,18,10,1,85%,33/39,Sea Eagles vs Wests Tigers,Sea Eagles,2014
1,51%,24:15,147,"1,431",511,5,27,37.7,182,10,341,182,4,14,409,2,88%,3,3,89.2%,321,30,9,6,1,74%,28/38,Sea Eagles vs Wests Tigers,Wests Tigers,2014
