,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,45%,25:57,175,"1,671",579,2,21,44,162,3.33s,10,377,201,17,20,499,0,60%,4,6,91.2%,412,28,1,12,10,7,1,1,7,1,84%,32/38,Eels vs Knights,Eels,2018
1,55%,31:43,194,"1,927",642,4,28,45.9,194,3.18s,7,442,245,27,20,547,1,100%,3,7,90.1%,344,21,0,17,10,10,0,0,7,0,81%,34/42,Eels vs Knights,Knights,2018
