,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,59%,23:37,170,"1,671",474,6,25,44,200,3.84s,7,402,221,22,26,616,3,75%,6,8,89.6%,224,16,2,10,4,84%,32/38,Sea Eagles vs Broncos,Sea Eagles,2015
1,41%,16:24,139,"1,357",437,2,16,41.1,134,3.62s,5,321,176,25,15,357,1,62%,3,4,90.1%,308,25,0,9,4,73%,24/33,Sea Eagles vs Broncos,Broncos,2015
