,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,24:59,174,"1,378",371,4,30,38.3,176,3.28s,13,367,215,25,13,341,4,56%,1,6,82.9%,277,42,15,8,10,1,8,72%,26/36,Sharks vs Sea Eagles,Sharks,2018
1,49%,24:01,160,"1,403",376,4,42,43.9,135,3.27s,10,347,193,26,14,271,0,83%,5,6,85.3%,290,30,20,4,13,0,6,88%,28/32,Sharks vs Sea Eagles,Sea Eagles,2018
