,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,42%,23:27,163,"1,477",477,5,39,42.2,138,3.44s,9,390,212,14,19,535,1,50%,2,5,87.5%,370,38,1,15,11,12,0,7,4,86%,30/35,Wests Tigers vs Rabbitohs,Wests Tigers,2018
1,58%,32:24,188,"1,600",521,3,38,35.6,178,3.29s,10,437,263,26,16,480,3,80%,2,2,85.3%,302,39,0,13,12,6,1,8,0,73%,33/45,Wests Tigers vs Rabbitohs,Rabbitohs,2018
