,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,66%,26:00,152,"1,371",409,6,27,42.9,240,3.74s,8,302,156,21,13,362,1,90%,1,3,83.9%,261,22,28,9,1,69%,22/32,Eels vs Sea Eagles,Eels,2015
1,34%,13:23,159,"1,158",338,3,22,32.2,118,3.57s,18,334,179,42,15,353,3,75%,0,7,87%,275,27,14,7,1,81%,29/36,Eels vs Sea Eagles,Sea Eagles,2015
