,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Sin Bins,Completions (%),Completed Sets Ratio,Match,Team,Year
0,57%,28:36,192,"1,681",538,3,31,39.1,211,5,409,209,1,25,686,92%,7,3,77.6%,302,45,42,7,0,0,84%,36/43,Broncos vs Titans,Broncos,2013
1,43%,21:34,160,"1,449",542,3,45,43.9,155,27,337,167,2,20,544,89%,4,3,90.3%,364,31,8,13,1,1,76%,25/33,Broncos vs Titans,Titans,2013
