,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,23:34,156,"1,455",363,3,20,38.3,195,3.33s,14,337,181,2,18,435,3,60%,3,4,90.7%,330,28,6,12,7,8,74%,28/38,Eels vs Roosters,Eels,2019
1,52%,25:32,165,"1,479",408,5,28,41.1,190,3.47s,5,359,193,7,17,381,1,90%,5,4,86.2%,281,20,25,9,8,8,75%,27/36,Eels vs Roosters,Roosters,2019
