,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Sin Bins,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,24:46,161,"1,528",487,3,22,38.2,218,5,375,195,8,23,647,2,93%,4,4,91.4%,329,24,2,7,5,0,82%,33/40,Panthers vs Cowboys,Panthers,2014
1,49%,23:47,151,"1,432",526,3,24,39.8,115,4,376,204,12,17,587,0,78%,2,3,91.3%,325,22,0,9,6,1,67%,24/36,Panthers vs Cowboys,Cowboys,2014
