,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,30:40,184,"1,687",545,2,20,40.2,189,3.91s,4,431,223,15,23,601,0,78%,8,4,87.8%,375,30,1,22,7,5,0,0,10,2,81%,34/42,Wests Tigers vs Storm,Wests Tigers,2016
1,48%,28:18,196,"1,889",702,4,30,43.9,308,3.39s,15,436,227,25,19,607,3,89%,5,3,94%,390,20,0,5,10,9,1,1,8,1,77%,33/43,Wests Tigers vs Storm,Storm,2016
