,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,25:05,163,"1,668",603,3,26,41.7,198,3.43s,5,377,224,18,15,287,2,50%,3,6,93.7%,329,15,1,7,15,9,1,6,0,68%,27/40,Roosters vs Titans,Roosters,2017
1,50%,25:05,158,"1,477",489,1,15,38.9,116,3.3s,5,386,218,14,20,518,1,50%,3,5,89.5%,299,26,1,9,11,12,0,5,2,71%,27/38,Roosters vs Titans,Titans,2017
