,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,26:01,201,"1,821",522,8,26,47.9,218,3.7s,12,435,237,36,25,658,2,33%,1,7,91.9%,262,12,11,4,0,92%,35/38,Broncos vs Sea Eagles,Broncos,2015
1,49%,24:59,144,"1,242",360,3,12,44.4,126,4.09s,5,333,191,25,14,382,0,54%,4,0,88.2%,322,26,17,6,1,57%,16/28,Broncos vs Sea Eagles,Sea Eagles,2015
