,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,23:07,164,"1,426",329,9,43,42,117,3.46s,13,336,196,49,10,249,0,67%,1,2,2,78.2%,262,55,0,18,10,8,8,0,76%,26/34,Panthers vs Raiders,Panthers,2018
1,50%,23:07,140,"1,352",315,6,55,43.6,123,3.66s,14,285,144,28,11,281,2,60%,0,2,2,78.9%,254,43,2,25,8,10,8,3,81%,25/31,Panthers vs Raiders,Raiders,2018
