,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,52%,28:00,178,"1,560",476,6,36,42.2,225,3.6s,8,393,212,3,19,548,2,80%,0,3,3,86%,326,38,15,5,13,8,0,92%,34/37,Roosters vs Panthers,Roosters,2019
1,48%,25:50,167,"1,329",435,1,38,33.2,202,3.53s,9,402,230,5,23,580,5,80%,1,4,6,88.1%,334,36,9,8,9,7,1,85%,34/40,Roosters vs Panthers,Panthers,2019
