,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,44%,22:09,182,"1,644",586,3,24,44.4,92,20,412,206,38,23,630,0,75%,7,4,87.9%,320,20,2,24,4,76%,28/37,Dragons vs Warriors,Dragons,2013
1,56%,28:11,161,"1,568",555,2,20,39.2,146,12,411,231,10,16,355,1,71%,4,4,86.8%,347,24,0,29,4,60%,24/40,Dragons vs Warriors,Warriors,2013
