,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,49%,25:38,166,"1,404",440,3,27,41.3,105,3.48s,7,367,207,15,15,413,0,100%,7,2,87.4%,354,33,18,11,9,0,8,0,79%,27/34,Titans vs Sea Eagles,Titans,2019
1,51%,26:41,202,"1,684",459,8,33,38.3,182,3.73s,11,391,217,8,16,352,1,82%,3,5,88.3%,280,27,10,13,6,1,7,1,70%,31/44,Titans vs Sea Eagles,Sea Eagles,2019
