,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,45%,22:57,141,"1,450",489,4,25,42.7,142,7,335,177,5,16,407,93%,7,2,89.1%,350,31,12,7,65%,22/34,Roosters vs Dragons,Roosters,2014
1,55%,28:03,174,"1,613",542,7,31,40.3,122,11,450,263,14,24,500,91%,3,7,88.4%,282,25,12,3,78%,31/40,Roosters vs Dragons,Dragons,2014
