,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,58%,30:04,186,"1,779",597,4,22,42.4,241,18,415,212,14,19,456,1,90%,1,9,3,95.7%,313,8,0,6,8,69%,29/42,Roosters vs Panthers,Roosters,2013
1,42%,21:47,146,"1,274",476,0,8,33.5,103,5,380,207,8,23,525,1,83%,0,4,4,87.6%,338,22,1,26,6,79%,30/38,Roosters vs Panthers,Panthers,2013
