,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,On Reports,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,55%,29:50,197,"1,740",506,3,23,37.8,227,3.33s,13,453,242,12,27,517,6,86%,0,14,89.8%,325,21,16,13,6,0,8,72%,33/46,Wests Tigers vs Sea Eagles,Wests Tigers,2019
1,45%,24:25,157,"1,351",446,2,21,38.6,56,3.3s,10,370,192,4,17,487,1,86%,4,3,88.2%,330,23,21,12,9,1,8,69%,24/35,Wests Tigers vs Sea Eagles,Sea Eagles,2019
