,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,46%,24:25,163,"1,691",603,4,43,45.7,196,16,390,202,3,21,478,2,79%,4,6,93.9%,338,14,8,6,70%,26/37,Roosters vs Warriors,Roosters,2013
1,54%,28:40,155,"1,685",656,2,14,45.6,191,5,379,194,3,22,625,1,87%,6,5,83.7%,313,43,18,4,81%,30/37,Roosters vs Warriors,Warriors,2013
