,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,28:32,200,"1,910",563,3,47,44.4,245,3.59s,14,420,214,36,22,649,2,86%,1,3,7,92%,378,29,4,11,3,9,0,79%,34/43,Broncos vs Cowboys,Broncos,2017
1,49%,27:25,183,"1,749",555,2,29,46,200,3.42s,3,445,253,30,21,611,2,75%,0,3,5,83.4%,356,47,24,6,7,9,3,87%,33/38,Broncos vs Cowboys,Cowboys,2017
