,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,48%,25:20,172,"1,520",452,4,22,41.1,132,3.36s,13,401,223,5,23,576,2,57%,0,2,9,94%,330,15,6,10,4,6,2,73%,27/37,Sea Eagles vs Roosters,Sea Eagles,2019
1,52%,27:26,171,"1,659",494,4,15,39.5,205,3.23s,2,392,204,9,21,530,3,100%,1,3,5,87.5%,323,22,24,14,5,5,2,67%,28/42,Sea Eagles vs Roosters,Roosters,2019
