,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Sin Bins,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,39%,22:00,160,"1,486",477,3,22,40.2,157,3.36s,7,376,193,13,20,650,1,80%,1,4,1,80%,359,63,27,9,13,1,7,78%,29/37,Warriors vs Dragons,Warriors,2018
1,61%,34:24,199,"1,765",611,3,63,43.1,132,3.48s,18,434,243,28,18,379,0,56%,0,5,3,90.6%,328,22,12,10,5,0,7,80%,33/41,Warriors vs Dragons,Dragons,2018
