,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Intercepts,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,45%,24:20,157,"1,423",492,6,10,33.9,167,4,406,222,2,20,700,1,88%,1,5,3,88.4%,306,30,1,10,4,83%,35/42,Sea Eagles vs Roosters,Sea Eagles,2014
1,55%,29:45,150,"1,474",527,4,30,44.7,197,7,368,196,1,21,560,0,100%,0,5,3,95.7%,358,10,0,6,7,79%,26/33,Sea Eagles vs Roosters,Roosters,2014
