,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Head Injury Assessment,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,28:17,182,"1,909",512,4,26,50.2,206,3.49s,12,400,208,8,25,645,1,86%,6,6,86.3%,354,32,24,8,3,8,0,82%,31/38,Eels vs Sharks,Eels,2019
1,50%,28:17,197,"1,674",437,4,32,46.5,163,3.26s,18,439,237,6,25,654,3,83%,9,7,88.3%,338,26,19,8,5,7,1,86%,31/36,Eels vs Sharks,Sharks,2019
