,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,On Reports,Completions (%),Completed Sets Ratio,Match,Team,Year
0,50%,24:29,145,"1,465",490,3,23,43.1,152,7,343,179,14,21,689,2,92%,0,4,3,81.6%,310,43,27,9,0,76%,26/34,Knights vs Raiders,Knights,2014
1,50%,24:29,177,"1,478",476,6,43,37,174,18,411,217,16,23,599,1,82%,1,3,9,90.1%,301,23,10,3,1,80%,32/40,Knights vs Raiders,Raiders,2014
