,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Penalties Conceded,Completions (%),Completed Sets Ratio,Match,Team,Year
0,57%,26:14,185,"1,581",489,4,28,41.6,193,19,408,219,12,22,560,1,88%,5,4,90.2%,339,21,16,7,71%,27/38,Warriors vs Knights,Warriors,2013
1,43%,19:47,159,"1,441",535,3,21,37.9,175,10,389,218,13,21,543,2,87%,1,7,86.7%,345,28,25,7,71%,27/38,Warriors vs Knights,Knights,2013
