,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,51%,29:08,191,"1,596",275,2,23,37.1,238,3.52s,17,432,231,32,26,606,1,83%,1,6,7,93.8%,390,18,8,10,3,8,81%,35/43,Storm vs Bulldogs,Storm,2016
1,49%,28:00,190,"1,464",206,1,18,40.7,119,3.8s,7,425,225,19,24,758,1,65%,0,4,3,88.2%,352,23,24,5,7,8,83%,30/36,Storm vs Bulldogs,Bulldogs,2016
