,Possession %,Time In Possession,All Runs,All Run Metres,Post Contact Metres,Line Breaks,Tackle Breaks,Average Set Distance,Kick Return Metres,Average Play The Ball Speed,Offloads,Receipts,Total Passes,Dummy Passes,Kicks,Kicking Metres,Forced Drop Outs,Kick Defusal %,40/20,Bombs,Grubbers,Effective Tackle %,Tackles Made,Missed Tackles,Ineffective Tackles,Errors,Penalties Conceded,Used,Completions (%),Completed Sets Ratio,Match,Team,Year
0,47%,22:18,153,"1,194",320,1,19,37.3,151,3.57s,17,351,175,12,23,640,2,82%,1,0,5,85.3%,331,38,19,8,6,7,78%,25/32,Knights vs Bulldogs,Knights,2016
1,53%,25:08,183,"1,534",503,5,38,40.4,161,3.17s,15,395,204,4,19,489,3,73%,0,3,9,85.5%,283,19,29,7,3,8,82%,31/38,Knights vs Bulldogs,Bulldogs,2016
